CustomerID,Country,FirstPurchaseDate,LastPurchaseDate,Recency,Frequency,Monetary,AverageOrderValue,UnitsPurchased,TenureDays,Cluster,Segment,SegmentOrder
12477,Germany,2011-02-11 12:45:00,2011-11-17 09:51:00,23,6,13219.74,2203.29,3653,279,2,Champions,1
12478,Greece,2011-12-06 09:56:00,2011-12-06 09:56:00,4,1,680.99,680.99,236,0,1,Potential Loyalists,3
12479,Germany,2011-11-28 13:26:00,2011-11-28 13:26:00,12,1,527.2,527.2,385,0,1,Potential Loyalists,3
12480,Germany,2011-01-07 15:27:00,2011-11-11 14:52:00,29,4,3281.63,820.41,1707,308,0,Loyal Customers,2
12481,Germany,2010-12-09 10:13:00,2011-11-17 08:29:00,23,10,5579.82,557.98,3294,343,2,Champions,1
12483,Sweden,2011-01-04 14:20:00,2011-11-22 17:02:00,18,8,2484.98,310.62,1110,322,2,Champions,1
12484,Spain,2011-01-07 14:04:00,2011-11-07 11:37:00,33,6,4527.32,754.55,2187,304,0,Loyal Customers,2
12488,France,2011-09-25 10:34:00,2011-11-30 08:50:00,10,3,1298.66,432.89,529,66,1,Potential Loyalists,3
12489,France,2011-01-07 13:13:00,2011-01-07 13:13:00,337,1,334.93,334.93,105,0,3,At Risk,4
12490,France,2011-01-14 09:13:00,2011-12-04 16:07:00,6,10,5417.93,541.79,3064,324,2,Champions,1
12491,France,2011-11-01 12:18:00,2011-11-01 12:18:00,39,1,460.4,460.4,260,0,1,Potential Loyalists,3
12492,Germany,2011-08-26 14:51:00,2011-10-07 15:15:00,64,2,263.21,131.6,192,42,3,At Risk,4
12493,France,2011-05-26 14:53:00,2011-06-27 10:17:00,166,2,433.74,216.87,207,32,3,At Risk,4
12494,France,2010-12-09 11:31:00,2011-11-24 09:34:00,16,7,1246.1,178.01,707,350,0,Loyal Customers,2
12497,Germany,2011-09-19 12:29:00,2011-09-19 12:29:00,82,1,1043.1,1043.1,1236,0,3,At Risk,4
12498,Germany,2011-10-13 09:30:00,2011-11-18 12:53:00,22,3,403.7,134.57,159,36,1,Potential Loyalists,3
12500,Germany,2011-01-10 09:48:00,2011-11-16 16:20:00,24,11,4257.82,387.07,2678,310,2,Champions,1
12501,Germany,2011-01-07 12:28:00,2011-01-07 12:28:00,337,1,2169.39,2169.39,1783,0,3,At Risk,4
12502,Spain,2011-02-03 10:41:00,2011-09-05 11:52:00,96,5,3723.87,744.77,820,214,0,Loyal Customers,2
12504,Germany,2011-11-09 14:56:00,2011-11-21 16:02:00,19,2,482.05,241.02,90,12,1,Potential Loyalists,3
12506,France,2011-04-21 08:54:00,2011-04-21 08:54:00,233,1,73.5,73.5,23,0,3,At Risk,4
12507,Spain,2011-02-14 09:24:00,2011-07-28 17:09:00,135,3,1304.81,434.94,894,164,0,Loyal Customers,2
12508,France,2011-11-10 16:27:00,2011-11-13 15:37:00,27,2,397.88,198.94,271,3,1,Potential Loyalists,3
12509,France,2011-02-28 14:45:00,2011-02-28 14:45:00,285,1,176.5,176.5,55,0,3,At Risk,4
12510,Spain,2011-01-18 14:04:00,2011-07-20 10:15:00,143,2,982.57,491.28,353,183,0,Loyal Customers,2
12512,Israel,2011-10-04 14:53:00,2011-10-04 14:55:00,67,2,132.18,66.09,96,0,3,At Risk,4
12513,France,2011-08-19 10:51:00,2011-08-19 10:51:00,113,1,612.29,612.29,462,0,3,At Risk,4
12514,Italy,2011-03-17 16:38:00,2011-03-17 16:38:00,268,1,1017.68,1017.68,440,0,3,At Risk,4
12515,Italy,2010-12-21 15:43:00,2010-12-21 15:43:00,354,1,383.7,383.7,131,0,3,At Risk,4
12516,Germany,2011-06-12 11:37:00,2011-09-23 09:13:00,78,2,1312.06,656.03,875,103,0,Loyal Customers,2
12517,Germany,2011-06-02 15:13:00,2011-11-11 14:04:00,29,5,2481.6,496.32,1361,162,0,Loyal Customers,2
12518,Germany,2011-08-21 13:18:00,2011-12-09 10:13:00,1,5,2056.89,411.38,1318,110,2,Champions,1
12519,Germany,2011-10-07 09:26:00,2011-10-07 09:26:00,64,1,330.84,330.84,175,0,3,At Risk,4
12520,Germany,2011-03-11 11:35:00,2011-09-21 15:23:00,80,5,2634.26,526.85,1439,194,0,Loyal Customers,2
12521,Germany,2011-07-20 10:51:00,2011-07-20 10:51:00,143,1,599.68,599.68,309,0,3,At Risk,4
12522,Germany,2011-10-19 14:41:00,2011-10-31 15:30:00,40,2,192.72,96.36,194,12,1,Potential Loyalists,3
12523,France,2011-01-12 09:43:00,2011-11-20 12:55:00,20,11,1789.77,162.71,865,312,2,Champions,1
12524,Germany,2011-01-10 10:35:00,2011-11-30 15:31:00,10,8,4485.72,560.72,3699,324,2,Champions,1
12526,Germany,2011-09-06 14:19:00,2011-12-09 12:09:00,1,3,1316.66,438.89,632,94,1,Potential Loyalists,3
12527,Germany,2011-01-18 12:05:00,2011-09-19 11:55:00,82,3,348.71,116.24,234,244,3,At Risk,4
12528,Germany,2011-01-31 09:05:00,2011-11-30 14:40:00,10,6,1933.48,322.25,756,303,2,Champions,1
12530,Germany,2011-01-07 10:04:00,2011-10-11 12:34:00,60,4,1662.28,415.57,913,277,0,Loyal Customers,2
12531,Germany,2011-11-25 11:12:00,2011-11-25 11:12:00,15,1,125.22,125.22,45,0,1,Potential Loyalists,3
12532,France,2011-11-09 13:47:00,2011-11-09 13:47:00,31,1,349.83,349.83,153,0,1,Potential Loyalists,3
12534,Germany,2011-08-01 10:26:00,2011-08-01 10:26:00,131,1,1089.18,1089.18,651,0,3,At Risk,4
12535,France,2011-06-06 12:47:00,2011-09-09 08:48:00,92,2,716.35,358.18,219,95,3,At Risk,4
12536,France,2011-10-11 14:52:00,2011-10-27 14:20:00,44,3,12601.83,4200.61,2803,16,0,Loyal Customers,2
12538,Spain,2011-11-10 17:16:00,2011-11-10 17:16:00,30,1,363.95,363.95,191,0,1,Potential Loyalists,3
12539,Spain,2011-01-10 09:11:00,2011-11-17 13:30:00,23,4,5568.35,1392.09,2067,311,0,Loyal Customers,2
12540,Spain,2010-12-13 09:39:00,2011-11-20 11:31:00,20,17,13400.24,788.25,6685,342,2,Champions,1
12541,Spain,2011-03-04 09:32:00,2011-11-10 10:40:00,30,3,981.18,327.06,680,251,0,Loyal Customers,2
12544,Spain,2011-11-03 16:15:00,2011-11-03 16:15:00,37,1,372.7,372.7,136,0,1,Potential Loyalists,3
12545,Spain,2011-03-25 12:04:00,2011-09-25 13:39:00,76,2,1000.39,500.2,523,184,0,Loyal Customers,2
12546,Spain,2011-09-23 09:44:00,2011-10-24 12:09:00,47,2,1161.5,580.75,633,31,0,Loyal Customers,2
12547,Spain,2011-03-04 12:46:00,2011-05-26 12:38:00,198,2,207.8,103.9,134,83,3,At Risk,4
12548,Spain,2011-06-26 15:35:00,2011-06-26 15:35:00,167,1,95.2,95.2,49,0,3,At Risk,4
12550,Spain,2011-09-21 14:35:00,2011-09-21 14:35:00,80,1,964.83,964.83,569,0,3,At Risk,4
12551,Spain,2010-12-17 11:23:00,2010-12-17 11:23:00,358,1,168.0,168.0,100,0,3,At Risk,4
12552,Italy,2011-10-31 12:11:00,2011-11-01 10:02:00,39,2,437.82,218.91,88,1,1,Potential Loyalists,3
12553,France,2011-01-14 10:42:00,2011-12-01 16:38:00,9,10,3692.28,369.23,1965,321,2,Champions,1
12556,Spain,2011-07-11 13:35:00,2011-10-20 13:06:00,51,2,599.56,299.78,355,101,1,Potential Loyalists,3
12557,Spain,2010-12-03 12:20:00,2011-11-23 16:59:00,17,5,11990.96,2398.19,4384,355,2,Champions,1
12558,USA,2011-12-02 10:41:00,2011-12-02 10:41:00,8,1,269.96,269.96,196,0,1,Potential Loyalists,3
12559,Germany,2011-01-24 10:12:00,2011-02-02 09:49:00,311,2,561.71,280.86,283,9,3,At Risk,4
12560,Germany,2011-07-19 15:55:00,2011-12-04 13:54:00,6,3,2134.01,711.34,1110,138,1,Potential Loyalists,3
12561,Germany,2011-02-10 11:39:00,2011-02-10 11:39:00,303,1,238.85,238.85,177,0,3,At Risk,4
12562,France,2011-05-25 12:44:00,2011-12-01 17:20:00,9,7,3781.74,540.25,1779,190,2,Champions,1
12564,France,2011-03-23 14:55:00,2011-03-23 14:55:00,262,1,456.9,456.9,133,0,3,At Risk,4
12565,Saudi Arabia,2011-02-24 10:34:00,2011-02-24 10:34:00,289,1,145.92,145.92,80,0,3,At Risk,4
12566,Germany,2011-09-14 14:30:00,2011-09-14 14:30:00,87,1,351.65,351.65,265,0,3,At Risk,4
12567,France,2010-12-05 11:57:00,2011-11-17 11:02:00,23,10,9401.28,940.13,4305,347,2,Champions,1
12569,Germany,2011-04-01 13:47:00,2011-12-07 16:24:00,3,32,4124.69,128.9,1801,250,2,Champions,1
12571,France,2011-08-10 12:35:00,2011-10-31 10:19:00,40,2,519.61,259.8,523,82,1,Potential Loyalists,3
12572,Germany,2011-10-19 08:20:00,2011-12-01 09:20:00,9,2,1020.42,510.21,452,43,1,Potential Loyalists,3
12573,France,2011-04-26 15:52:00,2011-04-26 15:52:00,228,1,160.54,160.54,84,0,3,At Risk,4
12574,France,2011-01-28 09:20:00,2011-01-28 09:20:00,316,1,218.45,218.45,61,0,3,At Risk,4
12576,Poland,2011-02-08 11:31:00,2011-11-04 10:11:00,36,5,1315.83,263.17,967,269,0,Loyal Customers,2
12577,France,2010-12-15 16:21:00,2011-11-04 13:24:00,36,3,626.6,208.87,469,324,0,Loyal Customers,2
12578,Italy,2011-01-13 15:34:00,2011-11-18 13:30:00,22,2,2794.51,1397.26,1196,309,0,Loyal Customers,2
12579,France,2011-09-22 17:15:00,2011-09-22 17:15:00,79,1,440.42,440.42,285,0,3,At Risk,4
12580,Germany,2011-04-07 10:24:00,2011-04-07 10:24:00,247,1,415.7,415.7,238,0,3,At Risk,4
12581,Germany,2011-10-31 08:56:00,2011-10-31 08:56:00,40,1,197.71,197.71,161,0,1,Potential Loyalists,3
12582,Finland,2011-02-24 11:42:00,2011-04-15 08:45:00,239,2,511.36,255.68,300,50,3,At Risk,4
12583,France,2010-12-01 08:45:00,2011-12-07 08:07:00,3,15,7281.38,485.43,5060,371,2,Champions,1
12584,Italy,2011-03-04 15:15:00,2011-12-06 09:35:00,4,9,2338.15,259.79,416,277,2,Champions,1
12585,Germany,2010-12-23 12:58:00,2011-04-19 13:39:00,235,2,2040.1,1020.05,1279,117,0,Loyal Customers,2
12586,Italy,2011-11-22 16:24:00,2011-11-22 16:24:00,18,1,196.94,196.94,79,0,1,Potential Loyalists,3
12587,Finland,2011-12-02 12:47:00,2011-12-02 12:47:00,8,1,144.0,144.0,51,0,1,Potential Loyalists,3
12588,Finland,2011-10-31 15:01:00,2011-10-31 15:01:00,40,1,214.9,214.9,53,0,1,Potential Loyalists,3
12589,France,2011-07-18 12:05:00,2011-11-11 10:19:00,29,2,646.68,323.34,306,116,1,Potential Loyalists,3
12590,Germany,2011-05-12 14:46:00,2011-05-12 14:52:00,212,2,9864.26,4932.13,4283,0,0,Loyal Customers,2
12591,Italy,2011-01-26 14:35:00,2011-01-26 14:35:00,318,1,452.85,452.85,228,0,3,At Risk,4
12592,Germany,2011-05-10 13:44:00,2011-09-08 15:04:00,93,2,437.6,218.8,290,121,3,At Risk,4
12593,France,2011-05-05 09:29:00,2011-08-23 12:43:00,109,3,418.1,139.37,206,110,3,At Risk,4
12594,Italy,2011-01-21 09:52:00,2011-11-02 12:20:00,38,10,3338.22,333.82,1777,285,2,Champions,1
12596,Spain,2011-04-11 13:22:00,2011-10-19 13:02:00,52,2,618.27,309.14,474,191,1,Potential Loyalists,3
12597,Spain,2011-03-16 14:00:00,2011-11-20 13:33:00,20,4,3811.22,952.8,2236,249,0,Loyal Customers,2
12598,France,2011-02-28 11:58:00,2011-11-30 12:18:00,10,8,3023.08,377.88,1964,275,2,Champions,1
12599,France,2011-02-08 13:28:00,2011-11-10 13:34:00,30,7,1032.58,147.51,956,275,0,Loyal Customers,2
12600,Germany,2010-12-03 12:57:00,2011-11-11 10:29:00,29,10,2599.04,259.9,774,343,2,Champions,1
12601,Germany,2011-01-11 10:38:00,2011-06-03 10:17:00,190,5,577.06,115.41,245,143,0,Loyal Customers,2
12602,France,2011-10-12 11:22:00,2011-10-12 11:22:00,59,1,153.12,153.12,162,0,3,At Risk,4
12603,Germany,2011-11-18 10:42:00,2011-11-18 10:42:00,22,1,739.2,739.2,63,0,1,Potential Loyalists,3
12604,France,2011-03-23 12:06:00,2011-09-21 14:08:00,80,2,254.18,127.09,201,182,3,At Risk,4
12607,USA,2011-10-10 16:06:00,2011-10-10 16:06:00,61,1,1579.51,1579.51,1228,0,0,Loyal Customers,2
12609,Germany,2011-01-25 15:13:00,2011-09-22 16:34:00,79,3,1126.85,375.62,648,240,0,Loyal Customers,2
12610,Italy,2011-08-05 13:52:00,2011-11-17 09:34:00,23,5,2099.54,419.91,1049,104,0,Loyal Customers,2
12611,Italy,2011-10-18 13:12:00,2011-10-18 13:12:00,53,1,1193.32,1193.32,846,0,0,Loyal Customers,2
12612,Germany,2011-09-26 15:35:00,2011-09-26 15:35:00,75,1,704.04,704.04,262,0,3,At Risk,4
12613,Germany,2011-03-22 15:42:00,2011-10-13 14:59:00,58,5,3344.38,668.88,1644,205,0,Loyal Customers,2
12614,Germany,2011-03-07 10:22:00,2011-03-07 10:22:00,278,1,315.6,315.6,76,0,3,At Risk,4
12615,France,2011-06-24 13:35:00,2011-12-07 15:02:00,3,4,2291.19,572.8,1376,166,2,Champions,1
12616,France,2011-02-15 14:17:00,2011-09-05 15:17:00,96,2,713.3,356.65,284,202,3,At Risk,4
12617,France,2011-11-10 14:39:00,2011-11-10 14:39:00,30,1,352.98,352.98,210,0,1,Potential Loyalists,3
12618,Italy,2011-11-18 11:10:00,2011-11-18 11:10:00,22,1,177.31,177.31,96,0,1,Potential Loyalists,3
12619,Germany,2011-03-31 13:10:00,2011-11-23 14:52:00,17,9,3641.24,404.58,3378,237,2,Champions,1
12620,France,2011-05-19 12:10:00,2011-11-25 10:20:00,15,3,1339.41,446.47,1181,190,0,Loyal Customers,2
12621,Germany,2010-12-09 10:16:00,2011-12-08 11:25:00,2,20,13689.67,684.48,7440,364,2,Champions,1
12622,Germany,2011-04-21 16:39:00,2011-04-21 16:39:00,233,1,180.1,180.1,69,0,3,At Risk,4
12623,Germany,2011-03-08 13:50:00,2011-03-08 13:50:00,277,1,305.1,305.1,191,0,3,At Risk,4
12624,France,2011-06-15 12:34:00,2011-08-25 15:04:00,107,2,641.13,320.56,355,71,3,At Risk,4
12625,Germany,2011-01-24 13:27:00,2011-05-12 09:54:00,212,2,2683.82,1341.91,1612,108,0,Loyal Customers,2
